2025-07-01 02:24:38,524 | YOLOv8 | INFO | Device is cpu
2025-07-01 02:24:38,596 | YOLOv8 | INFO | Начинаем настройку тренировки...
2025-07-01 02:26:53,851 | YOLOv8 | INFO | Device is cpu
2025-07-01 02:26:53,942 | YOLOv8 | INFO | Начинаем настройку тренировки...
2025-07-01 02:28:22,216 | YOLOv8 | INFO | Device is cpu
2025-07-01 02:32:15,072 | YOLOv8 | INFO | Device is cpu
2025-07-01 02:34:18,813 | YOLOv8 | INFO | Device is cpu
2025-07-01 02:34:18,884 | YOLOv8 | INFO | Начинаем настройку тренировки...
2025-07-01 02:35:03,646 | YOLOv8 | INFO | Device is cpu
2025-07-01 02:35:03,703 | YOLOv8 | INFO | Начинаем настройку тренировки...
2025-07-01 02:35:04,107 | YOLOv8 | INFO | Optimizer is ready
2025-07-01 02:35:04,107 | YOLOv8 | INFO | Scheduler is ready
2025-07-01 02:35:04,107 | YOLOv8 | INFO | Criterion is ready
2025-07-01 02:35:04,107 | YOLOv8 | INFO | Настройка тренировки завершена
2025-07-01 02:35:04,107 | YOLOv8 | INFO | 🔧 Создание DataLoader'ов...
2025-07-01 02:37:10,564 | YOLOv8 | INFO | Device is cpu
2025-07-01 02:37:10,621 | YOLOv8 | INFO | Начинаем настройку тренировки...
2025-07-01 02:37:11,014 | YOLOv8 | INFO | Optimizer is ready
2025-07-01 02:37:11,015 | YOLOv8 | INFO | Scheduler is ready
2025-07-01 02:37:11,015 | YOLOv8 | INFO | Criterion is ready
2025-07-01 02:37:11,015 | YOLOv8 | INFO | Настройка тренировки завершена
2025-07-01 02:37:11,015 | YOLOv8 | INFO | 🔧 Создание DataLoader'ов...
2025-07-01 02:37:11,015 | YOLOv8 | INFO | 📂 Загрузка val датасета...
2025-07-01 02:37:11,015 | YOLOv8 | INFO |    📊 Batch size: 16
2025-07-01 02:37:11,015 | YOLOv8 | INFO |    🖼️  Image size: 640
2025-07-01 02:37:11,015 | YOLOv8 | INFO |    👥 Workers: 4
2025-07-01 02:37:11,015 | YOLOv8 | INFO |    🔀 Shuffle: True
2025-07-01 02:37:11,015 | YOLOv8 | INFO |    ✂️  Drop last: False
2025-07-01 02:40:02,128 | YOLOv8 | INFO | Device is cpu
2025-07-01 02:40:02,185 | YOLOv8 | INFO | Начинаем настройку тренировки...
2025-07-01 02:40:02,584 | YOLOv8 | INFO | Optimizer is ready
2025-07-01 02:40:02,584 | YOLOv8 | INFO | Scheduler is ready
2025-07-01 02:40:02,584 | YOLOv8 | INFO | Criterion is ready
2025-07-01 02:40:02,585 | YOLOv8 | INFO | Настройка тренировки завершена
2025-07-01 02:40:02,585 | YOLOv8 | INFO | 🔧 Создание DataLoader'ов...
2025-07-01 02:40:02,585 | YOLOv8 | INFO | 📂 Загрузка val датасета...
2025-07-01 02:40:02,585 | YOLOv8 | INFO |    📊 Batch size: 16
2025-07-01 02:40:02,585 | YOLOv8 | INFO |    🖼️  Image size: 640
2025-07-01 02:40:02,585 | YOLOv8 | INFO |    👥 Workers: 4
2025-07-01 02:40:02,585 | YOLOv8 | INFO |    🔀 Shuffle: True
2025-07-01 02:40:02,585 | YOLOv8 | INFO |    ✂️  Drop last: False
2025-07-01 02:40:02,588 | YOLOv8 | INFO | ✅ DataLoader'ы созданы успешно!
2025-07-01 02:40:02,588 | YOLOv8 | INFO |    📊 Train: 87 батчей (1385 изображений)
2025-07-01 02:40:02,588 | YOLOv8 | INFO |    📊 Val: 25 батчей (396 изображений)
2025-07-01 02:41:15,683 | YOLOv8 | INFO | Device is cpu
2025-07-01 02:41:15,741 | YOLOv8 | INFO | Начинаем настройку тренировки...
2025-07-01 02:41:16,126 | YOLOv8 | INFO | Optimizer is ready
2025-07-01 02:41:16,126 | YOLOv8 | INFO | Scheduler is ready
2025-07-01 02:41:16,126 | YOLOv8 | INFO | Criterion is ready
2025-07-01 02:41:16,126 | YOLOv8 | INFO | Настройка тренировки завершена
2025-07-01 02:41:16,126 | YOLOv8 | INFO | 🔧 Создание DataLoader'ов...
2025-07-01 02:41:16,126 | YOLOv8 | INFO | 📂 Загрузка val датасета...
2025-07-01 02:41:16,126 | YOLOv8 | INFO |    📊 Batch size: 16
2025-07-01 02:41:16,126 | YOLOv8 | INFO |    🖼️  Image size: 640
2025-07-01 02:41:16,126 | YOLOv8 | INFO |    👥 Workers: 4
2025-07-01 02:41:16,126 | YOLOv8 | INFO |    🔀 Shuffle: True
2025-07-01 02:41:16,126 | YOLOv8 | INFO |    ✂️  Drop last: False
2025-07-01 02:41:16,129 | YOLOv8 | INFO | ✅ DataLoader'ы созданы успешно!
2025-07-01 02:41:16,129 | YOLOv8 | INFO |    📊 Train: 87 батчей (1385 изображений)
2025-07-01 02:41:16,129 | YOLOv8 | INFO |    📊 Val: 25 батчей (396 изображений)
2025-07-01 02:41:16,129 | YOLOv8 | INFO | === Эпоха 1/100 ===
2025-07-01 02:41:48,042 | YOLOv8 | INFO | Device is cpu
2025-07-01 02:41:48,101 | YOLOv8 | INFO | Начинаем настройку тренировки...
2025-07-01 02:41:48,496 | YOLOv8 | INFO | Optimizer is ready
2025-07-01 02:41:48,496 | YOLOv8 | INFO | Scheduler is ready
2025-07-01 02:41:48,496 | YOLOv8 | INFO | Criterion is ready
2025-07-01 02:41:48,496 | YOLOv8 | INFO | Настройка тренировки завершена
2025-07-01 02:41:48,496 | YOLOv8 | INFO | 🔧 Создание DataLoader'ов...
2025-07-01 02:41:48,496 | YOLOv8 | INFO | 📂 Загрузка val датасета...
